id,programa_base,modalidad_codigo,Carrera,Área académica,Duración,Modalidad,Descripción breve,Campo laboral,Perfil del estudiante,Costo mensual,Costo inscripción,costo_mensual_num,costo_inscripcion_num,Campus,RVOE,Autoridad RVOE,Palabras clave,horario_clases,titulo_egreso,servicio_social,practicas_profesionales,costos_adicionales_json,documentos_extra,incluye_sin_costo,resumen_wa,cta_wa,activo,version_fila,Resumen IA,CTA asesoría
derecho-presencial,Derecho,presencial,Derecho,Derecho,4 años,Presencial,"Formación teórica, práctica y ética en todas las ramas del derecho","Abogado litigante, asesor jurídico, juez, magistrado, ministerio público","Interés en leyes y justicia, análisis crítico","$4,650","$8,000",4650,8000,Campus Central,1275,SEP Estatal,"derecho, leyes, abogado, jurídico, justicia, legal, juez, litigio, penal, civil, laboral, fiscal",Lunes a viernes Campus Central,Licenciatura,pendiente_validacion,pendiente_validacion,"{""seguro_estudiante_anual"":400}",pendiente_validacion,"Google Workspace for Education; biblioteca digital 122000 títulos; plataforma Moodle; convenios de prácticas 50 convenios","Derecho presencial: $4,650/mes | Inscripción $8,000 | Duración 4 años | RVOE 1275. Formación teórica, práctica y ética en derecho.",¿Te gustaría conocer becas disponibles o el proceso de inscripción?,true,2026-06-18,"Licenciatura enfocada en formación jurídica con 70% práctica para ejercer como abogado, asesor legal o funcionario público en el sistema judicial.",¿Te gustaría agendar una asesoría personalizada con un coordinador académico para conocer más sobre esta carrera? Puedo conectarte ahora mismo.
derecho-en-linea,Derecho,en_linea,Derecho Online,Derecho,3 años,En línea,Formación jurídica 100% en línea con mismo título que presencial,"Abogado litigante, asesor jurídico, juez, magistrado, ministerio público","Trabaja entre semana, busca flexibilidad","$1,980","$3,600",1980,3600,Virtual,20251419,SEP Federal,"derecho online, leyes en línea, abogado virtual, derecho a distancia, estudiar derecho trabajando",Martes y jueves 20:00-22:00 hrs + plataforma 24/7,Licenciatura,pendiente_validacion,pendiente_validacion,{},pendiente_validacion,"Google Workspace for Education; biblioteca digital 122000 títulos; plataforma Moodle; convenios de prácticas 50 convenios","Derecho en línea: $1,980/mes | Inscripción $3,600 | Duración 3 años | RVOE 20251419. Mismo título que presencial.",¿Te gustaría conocer becas disponibles o cómo funcionan las clases en línea?,true,2026-06-18,"Licenciatura en Derecho 100% en línea con clases en vivo martes y jueves. Mismo título que presencial, ideal para quienes trabajan.",¿Te gustaría agendar una asesoría virtual con un coordinador académico? Te explicamos cómo funcionan las clases en línea y resolvemos todas tus dudas.
psicologia-presencial,Psicología,presencial,Psicología,Salud,4 años + S.S.,Presencial,"Estudio del comportamiento humano, neurociencias y enfoques terapéuticos","Psicólogo clínico, organizacional, educativo, RRHH, consultorios",Interés en salud mental y bienestar emocional,"$4,650","$8,000",4650,8000,Campus Central,994 Estatal / 20251033 Federal,SEP Estatal y Federal,"psicología, psicólogo, mente, emociones, terapia, salud mental, comportamiento, neuropsicología, clínica",Lunes a viernes Campus Central,Licenciatura,si,pendiente_validacion,"{""seguro_estudiante_anual"":400}",pendiente_validacion,"Google Workspace for Education; biblioteca digital 122000 títulos; plataforma Moodle; convenios de prácticas 50 convenios","Psicología presencial: $4,650/mes | Inscripción $8,000 | Duración 4 años + S.S. | RVOE 994 Estatal / 20251033 Federal.",¿Te gustaría conocer becas o el proceso de inscripción?,true,2026-06-18,"Licenciatura que forma psicólogos con enfoque clínico, organizacional y educativo. Incluye proceso terapéutico personal obligatorio y prácticas con idioma maya.",¿Te gustaría conocer nuestra Sala Gesell y el programa de idioma maya? Un coordinador puede mostrarte las instalaciones y resolver tus dudas.
enfermeria-presencial,Enfermería,presencial,Enfermería,Salud,4 años + S.S.,Presencial,"Cuidado integral del individuo, familia y comunidad","Hospitales IMSS, ISSSTE, SSY, clínicas privadas, promoción salud",Interés en salud y cuidado de personas,"$4,650","$8,000",4650,8000,Campus Central,2048 Estatal / 20250816 Federal,SEP Estatal y Federal,"enfermería, enfermera, enfermero, cuidados, salud, hospital, pacientes, nanda, nic-noc, medicina",Lunes a viernes Campus Central,Licenciatura,si,pendiente_validacion,"{""seguro_estudiante_anual"":400,""campos_clinicos_min"":2300,""campos_clinicos_max"":3000}",pendiente_validacion,"Google Workspace for Education; biblioteca digital 122000 títulos; plataforma Moodle; convenios de prácticas 50 convenios","Enfermería presencial: $4,650/mes | Inscripción $8,000 | Duración 4 años + S.S. | Campos clínicos adicionales $2,300-$3,000.",¿Te gustaría conocer becas o requisitos de inscripción?,true,2026-06-18,"Licenciatura en cuidado integral de salud con metodología NANDA NIC-NOC. Prácticas desde 2do semestre en IMSS, ISSSTE y Hospital O'Horán.",¿Te gustaría conocer nuestro laboratorio de enfermería completamente equipado? Un coordinador puede mostrarte el equipo médico y los convenios con hospitales.
nutricion-presencial,Nutrición,presencial,Nutrición,Salud,4 años + S.S.,Presencial,Evaluación nutricional y diseño de planes de alimentación,"Hospitales, consultorios, DIF, equipos deportivos, industria alimentaria","Interés en salud, alimentación y bienestar","$4,650","$8,000",4650,8000,Campus Central,1155,SEP Estatal,"nutrición, nutriólogo, nutricionista, alimentación, dieta, salud, obesidad, diabetes, deporte",Lunes a viernes Campus Central,Licenciatura,si,pendiente_validacion,"{""seguro_estudiante_anual"":400,""campos_clinicos_min"":2300,""campos_clinicos_max"":3000}",pendiente_validacion,"Google Workspace for Education; biblioteca digital 122000 títulos; plataforma Moodle; convenios de prácticas 50 convenios","Nutrición presencial: $4,650/mes | Inscripción $8,000 | Duración 4 años + S.S. | Campos clínicos adicionales $2,300-$3,000.",¿Te gustaría conocer becas o el proceso de inscripción?,true,2026-06-18,Licenciatura para evaluar estado nutricional y diseñar planes de alimentación personalizados en ámbito clínico, deportivo y comunitario.,¿Te gustaría agendar una asesoría personalizada con un coordinador académico para conocer más sobre esta carrera? Puedo conectarte ahora mismo.
sistemas-presencial,Ingeniería en Sistemas Computacionales,presencial,Ingeniería en Sistemas Computacionales,Tecnología,3 años 8 meses,Presencial,"Desarrollo de software, IA, ciberseguridad y redes","Desarrollador software, ingeniero ciberseguridad, analista datos, cloud",Interés en programación y tecnología,"$4,650","$8,000",4650,8000,Campus Central,143,SEP Estatal,"sistemas, programación, informática, tecnología, software, programador, desarrollador, java, ciberseguridad, inteligencia artificial",Lunes a viernes Campus Central,Ingeniería,pendiente_validacion,pendiente_validacion,"{""seguro_estudiante_anual"":400}",pendiente_validacion,"Google Workspace for Education; biblioteca digital 122000 títulos; plataforma Moodle; convenios de prácticas 50 convenios","Ingeniería en Sistemas presencial: $4,650/mes | Inscripción $8,000 | Duración 3 años 8 meses | RVOE 143.",¿Te gustaría conocer becas o el proceso de inscripción?,true,2026-06-18,"Ingeniería enfocada en desarrollo de software, IA y ciberseguridad. Desarrollas 12 proyectos reales y participas en NASA Space Apps Challenge.",¿Te gustaría conocer los laboratorios de cómputo y robótica? Un coordinador puede mostrarte los proyectos que desarrollan los estudiantes.
administracion-sabatina,Administración,sabatina,Administración Sabatina,Negocios,3 años,Sabatina,Gestión organizacional y desarrollo empresarial - Solo sábados,"Gerente administrativo, director operaciones, analista financiero","Trabaja entre semana, busca superación académica","$3,960","$3,600",3960,3600,Campus Central,20121885,SEP Federal,"administración, gerente, negocios, empresas, finanzas, sabatino, sábados, trabajando, administrador",Sábados 8:00-13:00 hrs,Licenciatura,pendiente_validacion,pendiente_validacion,"{""seguro_estudiante_anual"":400}",pendiente_validacion,"Google Workspace for Education; biblioteca digital 122000 títulos; plataforma Moodle; convenios de prácticas 50 convenios","Administración sabatina: $3,960/mes | Inscripción $3,600 | Duración 3 años | Clases solo sábados 8:00-13:00.",¿Te gustaría conocer becas o cómo combinar trabajo y estudio?,true,2026-06-18,Licenciatura en gestión empresarial solo sábados 8-13 hrs. Ideal para quienes trabajan entre semana y buscan un título universitario.,¿Te gustaría conocer cómo funciona la modalidad sabatina? Un coordinador puede explicarte los horarios y cómo combinar trabajo y estudio.
administracion-en-linea,Administración,en_linea,Administración y Desarrollo Empresarial Online,Negocios,3 años,En línea,"Gestión de organizaciones, finanzas y marco legal empresarial","Administrador empresas, gerente, analista, consultor, emprendedor","Trabaja, busca flexibilidad y emprendimiento","$1,980","$3,600",1980,3600,Virtual,20253750,SEP Federal,"administración online, negocios en línea, gestión empresarial virtual, emprendimiento, finanzas",Martes y jueves 20:00-22:00 hrs + plataforma 24/7,Licenciatura,pendiente_validacion,pendiente_validacion,{},pendiente_validacion,"Google Workspace for Education; biblioteca digital 122000 títulos; plataforma Moodle; convenios de prácticas 50 convenios","Administración en línea: $1,980/mes | Inscripción $3,600 | Duración 3 años | RVOE 20253750.",¿Te gustaría conocer becas o cómo funcionan las clases en línea?,true,2026-06-18,"Licenciatura 100% en línea en gestión empresarial, finanzas y emprendimiento. Formación práctica orientada a crear y dirigir empresas.",¿Te gustaría una demo de la plataforma Moodle y conocer cómo son las clases en vivo? Un coordinador puede mostrarte el sistema.
mercadotecnia-presencial,Ventas y Mercadotecnia,presencial,Ventas y Mercadotecnia,Negocios,3 años 4 meses,Presencial,"Estrategias comerciales, marketing digital y administración de marca","Ejecutivo ventas, coordinador marketing, brand manager, publicidad","Creatividad, orientación a resultados, ventas","$4,650","$8,000",4650,8000,Campus Central,1828,SEP Estatal,"mercadotecnia, marketing, ventas, publicidad, marca, redes sociales, comercial, digital",Lunes a viernes Campus Central,Licenciatura,pendiente_validacion,pendiente_validacion,"{""seguro_estudiante_anual"":400}",pendiente_validacion,"Google Workspace for Education; biblioteca digital 122000 títulos; plataforma Moodle; convenios de prácticas 50 convenios","Ventas y Mercadotecnia presencial: $4,650/mes | Inscripción $8,000 | Duración 3 años 4 meses | RVOE 1828.",¿Te gustaría conocer becas o el proceso de inscripción?,true,2026-06-18,"Licenciatura en estrategias de ventas, marketing digital y administración de marca. Formación creativa orientada a resultados comerciales.",¿Te gustaría agendar una asesoría personalizada con un coordinador académico para conocer más sobre esta carrera? Puedo conectarte ahora mismo.
mercadotecnia-en-linea,Ventas y Mercadotecnia,en_linea,Ventas y Mercadotecnia Online,Negocios,3 años,En línea,"Marketing digital, big data y ventas online/offline","Asesor comercial, analista marketing, campañas publicitarias","Trabaja, interés en marketing digital y ventas","$1,980","$3,600",1980,3600,Virtual,20251420,SEP Federal,"marketing online, ventas en línea, mercadotecnia digital, redes sociales, ecommerce, publicidad digital",Martes y jueves 20:00-22:00 hrs + plataforma 24/7,Licenciatura,pendiente_validacion,pendiente_validacion,{},pendiente_validacion,"Google Workspace for Education; biblioteca digital 122000 títulos; plataforma Moodle; convenios de prácticas 50 convenios","Ventas y Mercadotecnia en línea: $1,980/mes | Inscripción $3,600 | Duración 3 años | RVOE 20251420.",¿Te gustaría conocer becas o cómo funcionan las clases en línea?,true,2026-06-18,"Licenciatura 100% en línea en marketing digital, big data y ventas. Ideal para trabajar mientras estudias estrategias de comercio digital.",¿Te gustaría ver ejemplos de proyectos de marketing digital que desarrollan nuestros estudiantes? Un coordinador puede mostrarte casos reales.
